#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-25.3354557 ; -7.6686671  ; 8.0000000   ; 3.4052921   ; -0.0002878
-25.5285048 ; -7.7207797  ; 8.0000000   ; 3.4052028   ; -0.0006062
-25.7215579 ; -7.7728659  ; 8.0000000   ; 3.4049954   ; -0.0018200
-25.9146310 ; -7.8248816  ; 8.0000000   ; 3.4044521   ; -0.0036145
-26.1077465 ; -7.8767590  ; 8.0000000   ; 3.4035492   ; -0.0054763
-26.3009068 ; -7.9284187  ; 8.0000000   ; 3.4022122   ; -0.0078970
-26.4941633 ; -7.9797772  ; 8.0000000   ; 3.4003912   ; -0.0103164
-26.6875186 ; -8.0307333  ; 8.0000000   ; 3.3980418   ; -0.0134694
-26.8810112 ; -8.0811682  ; 8.0000000   ; 3.3949863   ; -0.0170916
-27.0746851 ; -8.1309440  ; 8.0000000   ; 3.3912062   ; -0.0207310
-27.2685495 ; -8.1799123  ; 8.0000000   ; 3.3866831   ; -0.0245107
-27.4626604 ; -8.2279320  ; 8.0000000   ; 3.3814039   ; -0.0282908
-27.6570369 ; -8.2748522  ; 8.0000000   ; 3.3753719   ; -0.0320240
-27.8517090 ; -8.3205266  ; 8.0000000   ; 3.3685979   ; -0.0357296
-28.0467060 ; -8.3648098  ; 8.0000000   ; 3.3610827   ; -0.0394341
-28.2420422 ; -8.4075534  ; 8.0000000   ; 3.3528291   ; -0.0431200
-28.4377406 ; -8.4486112  ; 8.0000000   ; 3.3438379   ; -0.0468107
-28.6338161 ; -8.4878359  ; 8.0000000   ; 3.3341088   ; -0.0504978
-28.8302765 ; -8.5250784  ; 8.0000000   ; 3.3236423   ; -0.0541892
-29.0271261 ; -8.5601894  ; 8.0000000   ; 3.3124371   ; -0.0578859
-29.2243760 ; -8.5930209  ; 8.0000000   ; 3.3004927   ; -0.0615821
-29.4220067 ; -8.6234196  ; 8.0000000   ; 3.2878083   ; -0.0652915
-29.6200241 ; -8.6512365  ; 8.0000000   ; 3.2743813   ; -0.0690022
-29.8184047 ; -8.6763184  ; 8.0000000   ; 3.2602114   ; -0.0727271
-30.0171191 ; -8.6985117  ; 8.0000000   ; 3.2452957   ; -0.0764659
-30.2161691 ; -8.7176659  ; 8.0000000   ; 3.2296308   ; -0.0802105
-30.4154814 ; -8.7336237  ; 8.0000000   ; 3.2132159   ; -0.0839823
-30.6150463 ; -8.7462330  ; 8.0000000   ; 3.1960443   ; -0.0877633
-30.8147992 ; -8.7553381  ; 8.0000000   ; 3.1781145   ; -0.0915739
-31.0146677 ; -8.7607837  ; 8.0000000   ; 3.1594211   ; -0.0954114
-31.2146361 ; -8.7624156  ; 8.0000000   ; 3.1399570   ; -0.0992597
-31.4145673 ; -8.7600786  ; 8.0000000   ; 3.1197214   ; -0.1031558
-31.6144263 ; -8.7536178  ; 8.0000000   ; 3.0987023   ; -0.1070700
-31.8140979 ; -8.7428797  ; 8.0000000   ; 3.0768968   ; -0.1110342
