#x_m        ; y_m         ; vx_mps      ; psi_rad
-26.3009068 ; -7.9284187  ; 8.0000000   ; 3.4022122
-26.4941633 ; -7.9797772  ; 8.0000000   ; 3.4003912
-26.6875186 ; -8.0307333  ; 8.0000000   ; 3.3980418
-26.8810112 ; -8.0811682  ; 8.0000000   ; 3.3949863
-27.0746851 ; -8.1309440  ; 8.0000000   ; 3.3912062
-27.2685495 ; -8.1799123  ; 8.0000000   ; 3.3866831
-27.4626604 ; -8.2279320  ; 8.0000000   ; 3.3814039
-27.6570369 ; -8.2748522  ; 8.0000000   ; 3.3753719
-27.8517090 ; -8.3205266  ; 8.0000000   ; 3.3685979
-28.0467060 ; -8.3648098  ; 8.0000000   ; 3.3610827
-28.2420422 ; -8.4075534  ; 8.0000000   ; 3.3528291
-28.4377406 ; -8.4486112  ; 8.0000000   ; 3.3438379
-28.6338161 ; -8.4878359  ; 8.0000000   ; 3.3341088
-28.8302765 ; -8.5250784  ; 8.0000000   ; 3.3236423
-29.0271261 ; -8.5601894  ; 8.0000000   ; 3.3124371
-29.2243760 ; -8.5930209  ; 8.0000000   ; 3.3004927
-29.4220067 ; -8.6234196  ; 8.0000000   ; 3.2878083
-29.6200241 ; -8.6512365  ; 8.0000000   ; 3.2743813
-29.8184047 ; -8.6763184  ; 8.0000000   ; 3.2602114
-30.0171191 ; -8.6985117  ; 8.0000000   ; 3.2452957
-30.2161691 ; -8.7176659  ; 8.0000000   ; 3.2296308
-30.4154814 ; -8.7336237  ; 8.0000000   ; 3.2132159
-30.6150463 ; -8.7462330  ; 8.0000000   ; 3.1960443
-30.8147992 ; -8.7553381  ; 8.0000000   ; 3.1781145
-31.0146677 ; -8.7607837  ; 8.0000000   ; 3.1594211
-31.2146361 ; -8.7624156  ; 8.0000000   ; 3.1399570
-31.4145673 ; -8.7600786  ; 8.0000000   ; 3.1197214
-31.6144263 ; -8.7536178  ; 8.0000000   ; 3.0987023
-31.8140979 ; -8.7428797  ; 8.0000000   ; 3.0768968
-32.0134577 ; -8.7277133  ; 8.0000000   ; 3.0542958
-32.2124583 ; -8.7079607  ; 8.0000000   ; 3.0308852
-32.4108939 ; -8.6834796  ; 8.0000000   ; 3.0066621
-32.6086877 ; -8.6541140  ; 8.0000000   ; 2.9816039
-32.8056656 ; -8.6197185  ; 8.0000000   ; 2.9556913
-33.0016435 ; -8.5801511  ; 8.0000000   ; 2.9289081
-33.1965145 ; -8.5352512  ; 8.0000000   ; 2.9012102
-33.3900054 ; -8.4848914  ; 8.0000000   ; 2.8725743
-33.5819657 ; -8.4289187  ; 8.0000000   ; 2.8430647
